g3,absences,age,traveltime,studytime,failures,famrel,freetime,goout,dalc,walc,health
8,0,16,1,3,0,5,3,5,1,1,3
8,4,19,3,1,1,4,4,4,3,3,5
15,6,15,1,4,0,5,5,4,1,2,5
9,11,20,1,2,2,5,5,4,4,5,4
8,6,15,2,2,2,4,4,4,2,3,5
11,11,18,1,2,0,4,3,2,1,4,5
9,14,17,1,2,0,4,5,5,1,3,2
12,4,15,1,4,0,1,3,3,5,5,3
11,16,16,1,2,0,4,4,5,5,5,5
13,6,16,1,2,1,3,1,2,1,1,5
6,8,15,1,2,0,5,2,2,1,1,5
7,16,18,1,2,1,5,3,3,1,1,4
14,0,17,2,3,0,4,3,3,1,1,3
13,6,17,1,4,0,4,2,3,1,1,4
10,8,16,1,2,0,5,3,4,1,1,2
11,4,17,2,2,0,4,5,5,1,3,2
10,6,16,2,1,0,4,3,2,1,4,5
0,0,18,1,3,0,4,3,3,1,1,3
5,2,15,1,2,2,3,3,4,2,4,5
15,0,16,1,2,0,4,2,3,1,2,5
8,2,18,1,4,0,4,5,5,2,4,5
9,8,16,2,1,2,2,3,3,2,2,2
9,28,17,1,3,1,4,4,3,3,4,5
17,0,16,1,3,0,4,4,3,1,1,4
15,10,17,1,2,0,5,3,4,1,3,3
10,4,16,1,1,0,3,1,3,1,3,5
16,0,16,1,2,0,4,2,3,1,1,3
16,2,16,1,2,0,4,3,5,1,5,2
5,16,17,1,1,3,5,5,5,2,4,5
7,5,18,2,1,0,4,4,3,1,3,5
11,2,17,2,2,0,1,2,3,1,2,5
13,13,17,1,2,0,5,3,5,4,5,3
12,2,17,1,2,0,5,3,3,1,3,3
14,6,18,1,3,0,4,2,4,1,3,2
0,0,18,1,2,0,5,3,4,1,1,4
15,0,16,2,4,0,4,3,2,1,1,5
0,0,16,1,2,3,4,3,5,1,1,3
18,4,15,1,1,0,4,5,5,1,3,1
12,0,16,2,2,0,5,4,4,2,4,5
18,21,18,1,2,0,3,1,2,1,3,2
0,0,17,1,4,0,3,4,1,1,1,2
6,26,15,2,2,0,4,3,5,1,1,2
9,14,18,4,2,0,4,3,2,4,5,3
12,16,16,2,1,1,4,5,2,1,1,2
8,7,18,1,1,1,4,3,3,2,3,3
14,2,15,1,2,0,4,3,3,2,2,5
4,22,17,1,2,2,3,4,5,2,4,1
13,8,17,1,1,0,2,2,2,3,3,5
13,2,16,1,2,0,4,2,4,2,4,1
8,2,15,1,3,0,4,3,2,1,1,5
6,4,16,1,4,0,4,3,3,1,2,5
10,4,18,1,3,0,4,3,3,1,2,3
5,14,16,1,1,0,4,5,5,5,5,4
0,0,17,1,2,1,3,3,1,1,2,4
10,12,17,1,1,0,5,2,1,1,2,3
9,4,17,1,3,0,3,2,3,1,1,4
