g3,absences,age,traveltime,studytime,failures,famrel,freetime,goout,dalc,walc,health
11,0,15,1,2,0,5,3,2,1,1,1
9,14,17,1,2,0,4,5,5,1,3,2
10,4,18,2,1,0,3,3,2,1,2,3
12,6,17,2,2,0,4,4,4,2,3,5
10,2,15,1,2,0,4,3,2,2,3,4
12,0,17,2,2,0,3,2,2,1,2,3
8,56,17,1,2,0,5,3,3,2,3,1
11,8,17,1,3,0,3,4,3,1,1,3
7,6,15,2,2,2,4,4,4,1,4,3
11,4,15,1,3,0,5,3,2,1,2,5
0,0,16,1,2,0,5,1,5,1,1,4
17,7,18,1,4,0,5,3,3,1,1,1
11,4,17,1,2,0,5,2,3,1,1,2
0,0,19,2,1,1,4,3,2,1,3,5
8,0,16,1,3,0,4,3,3,1,3,4
9,0,18,1,2,0,5,3,4,1,1,5
8,10,19,1,4,0,4,3,3,1,2,3
10,8,16,1,2,0,5,3,4,1,1,2
15,7,16,2,3,0,2,4,3,1,1,5
15,0,16,1,1,0,4,3,2,2,4,5
13,4,17,2,1,0,5,2,2,1,1,2
16,9,18,1,3,0,5,3,2,1,2,4
8,0,16,1,3,0,5,3,5,1,1,3
16,5,18,1,1,0,1,4,2,2,2,1
10,4,18,2,2,0,3,3,4,2,4,3
10,19,17,1,1,1,4,4,4,3,4,3
11,8,18,2,2,0,4,3,4,2,2,4
15,0,16,1,2,0,4,2,3,1,2,5
13,2,16,2,2,0,4,2,2,1,2,5
7,3,21,1,1,3,5,5,3,3,3,3
12,0,16,1,2,1,4,4,4,1,3,5
14,6,16,1,3,0,3,2,3,1,2,2
12,2,15,1,1,0,3,2,2,1,3,3
5,14,17,1,1,0,3,5,5,1,3,1
10,4,17,1,2,0,3,1,3,1,5,3
9,4,16,2,2,0,4,4,5,1,1,4
9,0,15,1,2,0,3,3,3,1,2,2
12,1,18,2,4,0,5,2,2,1,1,3
11,25,16,2,2,1,3,3,3,1,2,3
8,2,15,1,3,0,4,3,2,1,1,5
14,4,18,1,2,0,3,2,4,1,4,2
0,0,15,1,2,3,3,3,2,1,1,3
12,0,17,1,1,0,4,2,1,1,1,4
14,6,16,1,1,1,4,4,4,3,5,5
9,8,16,2,1,2,2,3,3,2,2,2
13,12,19,1,3,1,5,4,3,1,2,5
7,18,16,1,2,0,4,1,3,3,5,5
10,2,17,2,2,0,4,3,3,1,1,1
18,21,18,1,2,0,3,1,2,1,3,2
0,0,18,1,2,0,4,3,3,1,1,2
14,14,17,1,2,0,3,2,3,1,2,3
16,4,16,1,3,0,5,4,5,1,1,4
0,0,15,2,3,2,4,2,2,2,2,5
5,14,16,1,1,0,4,5,5,5,5,4
15,2,15,1,3,0,3,2,2,1,1,5
14,4,18,1,4,0,4,5,5,1,3,2
10,8,16,1,1,0,4,3,2,3,4,5
8,38,19,2,1,1,4,3,4,1,1,4
8,0,16,2,1,0,3,3,2,1,3,3
8,6,15,2,2,2,4,4,4,2,3,5
10,0,16,2,2,0,5,3,3,1,1,1
17,13,18,2,2,0,4,2,5,3,4,1
18,2,15,1,2,0,4,3,3,1,1,5
0,0,17,1,4,0,3,4,1,1,1,2
15,4,15,1,1,0,2,2,4,2,4,1
10,2,18,4,3,0,4,3,2,1,2,4
10,4,17,1,3,0,4,3,3,1,1,4
15,10,17,1,2,0,5,3,4,1,3,3
16,2,16,1,2,0,4,3,5,1,5,2
10,12,16,2,2,1,4,4,2,1,1,3
0,0,17,3,2,0,5,4,5,2,4,5
11,16,16,1,2,0,4,4,5,5,5,5
10,17,17,1,2,0,4,5,4,2,3,1
16,2,16,1,2,0,4,5,1,1,3,5
11,2,15,1,3,0,4,2,2,1,1,5
10,12,17,1,1,0,5,2,1,1,2,3
12,0,19,1,2,1,4,5,3,1,2,5
10,0,18,2,1,0,5,2,3,1,2,4
14,2,16,1,1,0,5,3,2,2,2,5
14,6,15,1,4,0,4,3,4,1,1,4
12,0,15,1,2,0,5,4,2,3,4,5
8,4,19,3,1,1,4,4,4,3,3,5
18,24,17,2,1,1,4,2,4,2,3,2
7,16,18,1,2,1,5,3,3,1,1,4
0,0,19,1,2,1,4,2,4,2,2,3
12,4,16,1,2,1,4,5,5,4,4,5
12,2,17,1,2,0,5,3,3,1,3,3
14,7,17,1,3,0,4,4,3,1,1,5
10,8,17,4,1,0,4,4,5,5,5,4
6,8,15,1,2,0,5,2,2,1,1,5
15,0,15,2,1,0,4,3,2,1,1,5
12,2,18,2,2,1,4,4,3,2,3,5
0,0,15,3,1,0,4,3,3,1,2,4
0,0,15,1,3,0,4,3,3,1,1,5
14,2,15,1,2,0,4,3,3,2,2,5
