g3,absences,age,traveltime,studytime,failures,famrel,freetime,goout,dalc,walc,health
13,23,17,1,2,0,5,2,2,1,2,5
10,6,15,1,2,0,4,3,3,2,3,5
12,0,19,1,2,1,4,5,3,1,2,5
6,8,15,1,2,0,5,2,2,1,1,5
9,2,19,1,2,3,3,4,2,1,1,5
14,2,15,2,2,0,4,4,3,1,1,2
10,12,17,1,1,0,5,2,1,1,2,3
10,0,18,3,1,0,4,4,1,3,4,5
16,2,16,1,2,0,4,3,5,1,5,2
11,14,18,1,2,0,4,2,4,1,1,4
14,0,17,2,3,0,4,3,3,1,1,3
9,5,19,1,1,0,3,2,3,3,3,5
15,4,15,1,1,0,2,2,4,2,4,1
0,0,19,2,2,0,2,3,4,2,3,2
0,0,19,1,1,3,4,5,4,1,1,4
19,10,15,1,1,0,3,5,2,1,1,3
10,4,18,2,1,0,3,3,2,1,2,3
11,2,16,1,1,0,3,3,3,1,2,3
10,0,16,1,3,1,4,1,2,1,1,2
14,2,15,1,2,0,4,3,3,2,2,5
0,0,18,1,3,0,4,3,3,1,1,3
14,6,16,1,1,1,4,4,4,3,5,5
12,12,17,1,1,0,3,4,4,1,3,5
13,10,16,1,2,0,1,3,2,1,1,1
11,40,19,1,3,1,4,1,2,1,1,3
13,8,17,1,1,0,2,2,2,3,3,5
15,0,18,1,2,0,4,1,3,1,2,1
11,16,16,1,1,0,3,2,1,1,4,5
11,11,18,1,2,0,4,3,2,1,4,5
18,8,16,1,1,0,3,5,5,2,5,4
12,0,16,1,1,0,5,3,2,1,2,5
12,20,16,1,1,0,4,5,2,1,1,5
8,2,15,1,2,0,4,4,4,1,1,1
8,0,16,1,2,0,5,4,4,1,1,5
0,0,18,1,2,0,5,3,4,1,1,4
11,6,16,1,2,0,2,4,4,2,3,4
15,2,16,3,1,0,4,2,2,1,2,3
15,2,15,1,3,0,3,2,2,1,1,5
13,14,19,1,3,2,4,1,2,1,1,3
5,2,15,1,2,2,3,3,4,2,4,5
15,4,20,2,3,2,5,4,3,1,1,3
7,0,17,4,2,3,5,3,5,1,5,5
12,4,15,1,4,0,1,3,3,5,5,3
9,11,20,1,2,2,5,5,4,4,5,4
6,6,18,2,2,0,4,3,4,1,1,3
