g3,absences,age,traveltime,studytime,failures,famrel,freetime,goout,dalc,walc,health
10,10,18,1,2,0,5,4,5,1,3,5
12,8,15,1,1,0,5,4,3,2,4,5
13,4,17,2,1,0,5,2,2,1,1,2
9,10,16,1,1,0,4,3,3,3,4,3
15,0,18,1,2,0,4,1,3,1,2,1
10,4,17,1,3,0,4,3,3,1,1,4
11,11,18,1,2,0,4,3,2,1,4,5
16,0,16,1,2,0,4,2,3,1,1,3
10,2,17,2,2,0,4,4,3,1,1,3
7,0,17,4,2,3,5,3,5,1,5,5
10,0,15,4,1,3,4,5,5,2,5,5
11,12,17,1,2,0,4,3,4,2,3,4
6,26,15,2,2,0,4,3,5,1,1,2
11,4,17,1,2,0,5,4,5,1,2,5
11,0,15,1,2,0,4,4,2,1,2,5
11,4,19,1,3,1,4,3,4,1,3,3
13,0,18,2,2,0,3,3,3,5,5,4
7,6,17,2,3,0,4,4,2,1,1,4
11,3,18,1,3,0,4,3,3,2,2,3
8,8,15,1,4,0,5,1,2,1,1,3
15,0,15,2,1,0,4,3,2,1,1,5
12,4,16,1,2,1,4,5,5,4,4,5
8,0,18,2,1,1,4,4,5,2,4,5
9,12,17,1,2,0,4,2,2,1,1,3
13,12,18,1,2,1,5,4,3,1,1,5
8,16,22,1,1,3,5,4,5,5,5,1
8,2,15,2,2,0,4,1,3,1,3,4
8,2,17,2,1,1,4,4,4,1,2,5
0,0,19,1,3,1,5,4,2,1,2,5
9,0,18,1,3,0,5,4,5,2,3,5
17,7,18,1,4,0,5,3,3,1,1,1
12,1,18,2,4,0,5,2,2,1,1,3
8,2,15,1,3,0,4,3,2,1,1,5
14,7,18,1,3,0,5,4,3,2,3,1
10,18,19,1,2,1,4,4,3,1,3,3
8,10,16,1,2,0,3,4,3,2,3,3
10,6,15,1,2,0,4,3,3,2,3,5
14,2,17,1,2,0,3,5,2,2,2,1
13,10,18,2,1,1,2,5,5,5,5,5
15,2,17,2,2,0,4,4,4,1,3,1
11,0,15,1,1,0,3,3,4,2,3,5
10,0,16,1,2,0,4,5,2,1,2,3
16,4,17,1,1,0,5,2,3,1,2,5
6,10,15,1,2,0,4,4,4,1,1,5
19,0,15,1,2,0,4,2,2,1,1,1
0,0,15,4,2,0,5,3,3,1,1,5
10,8,17,4,1,0,4,4,5,5,5,4
8,13,18,1,2,1,3,2,4,2,4,4
12,0,15,1,1,0,5,5,5,3,2,5
13,18,16,1,1,0,3,4,4,1,4,5
13,2,16,2,2,0,4,2,2,1,2,5
12,0,15,1,2,0,5,4,2,3,4,5
8,3,17,2,1,0,3,3,3,1,4,3
9,0,15,1,2,0,3,3,3,1,2,2
0,0,18,2,2,0,4,3,5,1,2,3
0,0,18,1,2,0,4,3,3,1,1,2
10,0,17,1,3,0,4,3,4,2,5,5
19,6,15,1,1,0,5,5,3,1,1,4
9,4,19,2,2,2,3,2,2,1,1,3
15,0,16,1,1,0,5,4,3,1,1,5
10,8,15,2,3,2,4,2,1,2,3,3
10,2,15,2,4,1,3,1,2,1,1,1
5,2,15,1,2,2,3,3,4,2,4,5
10,0,18,2,2,0,4,3,2,1,3,3
12,0,16,1,2,1,4,4,4,1,3,5
0,0,15,2,3,2,4,2,2,2,2,5
12,14,16,1,2,0,1,2,2,1,2,1
16,2,16,2,2,0,4,3,2,1,1,3
15,0,16,1,1,0,4,3,2,2,4,5
15,4,20,2,3,2,5,4,3,1,1,3
18,2,15,1,2,0,4,3,3,1,1,5
11,10,18,3,2,0,3,2,2,4,2,5
8,4,18,1,1,1,3,2,5,2,5,5
11,3,17,1,3,0,3,3,2,2,2,3
9,4,16,2,2,0,4,4,5,1,1,4
11,2,16,2,2,0,3,4,4,1,4,5
8,38,19,2,1,1,4,3,4,1,1,4
14,2,15,1,1,0,4,3,3,1,3,5
0,0,17,2,1,2,3,3,2,2,2,5
10,4,17,1,2,0,4,4,4,1,3,1
8,4,19,3,1,1,4,4,4,3,3,5
10,8,18,2,1,0,4,2,3,1,2,1
