g3,absences,age,traveltime,studytime,failures,famrel,freetime,goout,dalc,walc,health
10,6,15,1,2,0,4,3,3,2,3,5
11,2,16,2,2,0,3,4,4,1,4,5
9,22,18,2,1,0,3,2,4,1,4,3
11,2,15,1,2,0,4,3,2,1,1,5
9,2,15,1,2,0,4,3,2,1,1,5
11,2,15,1,3,0,4,3,2,1,1,5
7,18,16,1,2,0,4,1,3,3,5,5
12,1,18,2,4,0,5,2,2,1,1,3
12,10,17,2,3,0,3,2,3,1,2,3
18,2,15,1,2,0,4,3,3,1,1,5
8,56,17,1,2,0,5,3,3,2,3,1
5,12,16,1,2,0,2,4,3,1,2,3
7,5,16,1,2,3,2,3,3,2,2,4
16,2,16,1,2,0,4,3,5,1,5,2
13,6,16,1,2,1,3,1,2,1,1,5
15,2,16,3,1,0,4,2,2,1,2,3
0,0,18,2,4,0,4,4,4,1,1,4
9,4,16,2,2,0,4,4,5,1,1,4
11,0,16,1,4,0,5,2,3,1,3,3
12,2,15,1,1,0,3,2,2,1,3,3
15,0,17,1,3,0,4,4,3,1,3,4
12,4,16,1,2,1,4,5,5,4,4,5
12,2,16,1,2,0,4,2,3,1,2,3
7,6,15,2,2,2,4,4,4,1,4,3
10,8,15,2,3,2,4,2,1,2,3,3
14,2,17,1,2,0,3,5,2,2,2,1
12,0,15,1,2,0,5,3,2,1,1,2
0,0,18,1,2,1,4,3,3,2,2,2
6,4,16,1,4,0,4,3,3,1,2,5
8,0,18,2,1,1,4,4,5,2,4,5
13,20,19,1,2,1,4,4,4,1,1,3
14,4,17,2,3,0,4,3,3,1,2,4
6,10,15,1,2,0,4,4,4,1,1,5
10,0,15,4,1,3,4,5,5,2,5,5
10,4,18,2,1,0,3,3,2,1,2,3
5,14,16,1,1,0,4,5,5,5,5,4
8,4,19,3,1,1,4,4,4,3,3,5
9,0,17,1,2,0,5,3,3,1,1,3
0,0,15,2,3,2,4,2,2,2,2,5
14,6,16,1,1,1,4,4,4,3,5,5
9,75,18,2,2,0,4,1,1,1,1,5
15,2,16,3,2,0,5,4,3,1,2,1
12,2,18,2,2,1,4,4,3,2,3,5
8,2,18,1,2,0,4,3,2,1,1,3
9,6,17,1,2,0,3,3,3,1,3,3
10,0,17,2,1,0,4,1,1,2,2,5
11,22,19,2,2,1,4,2,2,1,2,1
15,0,17,1,2,0,4,3,2,1,1,5
12,0,15,1,1,0,5,5,5,3,2,5
9,14,17,1,2,0,4,5,5,1,3,2
10,2,16,1,2,0,4,3,5,1,1,5
18,2,15,1,3,0,5,4,3,1,1,4
11,8,18,2,2,0,4,3,4,2,2,4
9,2,19,1,2,3,3,4,2,1,1,5
11,3,19,1,2,1,4,5,2,2,2,4
8,15,18,1,2,1,4,4,4,2,4,5
8,0,16,2,1,0,3,3,2,1,3,3
15,0,15,1,2,0,4,3,2,1,1,1
13,18,16,1,1,0,3,4,4,1,4,5
0,0,18,1,2,1,5,5,4,3,5,2
12,8,18,1,2,1,4,4,3,1,1,3
10,4,18,2,2,0,5,4,4,1,1,4
13,2,17,2,2,0,4,5,4,2,3,3
10,4,16,3,2,0,5,3,2,1,1,4
13,8,17,1,1,0,2,2,2,3,3,5
13,6,17,1,4,0,4,2,3,1,1,4
8,0,16,1,3,0,4,3,3,1,3,4
8,13,18,1,2,1,3,2,4,2,4,4
9,4,16,1,2,0,4,4,3,1,1,1
0,0,19,1,3,1,5,4,2,1,2,5
15,7,16,2,3,0,2,4,3,1,1,5
14,4,18,1,4,0,4,5,5,1,3,2
16,0,15,1,3,0,4,5,2,1,1,3
14,6,16,1,3,0,3,2,3,1,2,2
5,14,18,2,1,1,5,4,3,4,3,3
0,0,15,4,2,0,5,3,3,1,1,5
5,16,17,1,1,3,5,5,5,2,4,5
10,4,17,1,2,0,3,1,3,1,5,3
12,2,17,1,2,0,5,3,3,1,3,3
8,2,17,2,1,1,4,4,4,1,2,5
13,2,16,3,2,0,4,3,3,2,3,4
16,0,15,1,2,0,4,5,2,1,1,5
8,7,18,1,1,1,4,3,3,2,3,3
