g3,absences,age,traveltime,studytime,failures,famrel,freetime,goout,dalc,walc,health
16,2,16,1,2,0,4,2,3,1,1,5
13,2,16,1,2,0,4,2,4,2,4,1
12,8,15,1,1,0,5,4,3,2,4,5
10,0,18,2,1,0,5,2,3,1,2,4
12,0,15,1,1,0,5,5,5,3,2,5
18,24,17,2,1,1,4,2,4,2,3,2
13,4,17,1,2,0,4,4,2,5,5,4
12,2,16,1,2,0,4,2,3,1,2,3
12,2,17,1,2,0,5,3,3,1,3,3
12,10,17,2,3,0,3,2,3,1,2,3
14,2,16,1,1,0,5,3,2,2,2,5
10,10,15,1,2,3,4,3,2,2,3,3
13,6,15,4,4,0,1,3,5,3,5,1
13,10,18,2,1,1,2,5,5,5,5,5
11,2,17,3,2,0,2,1,1,1,1,3
0,0,18,1,1,3,2,3,5,2,5,4
13,4,17,2,1,0,5,2,2,1,1,2
10,4,17,1,3,0,4,3,3,1,1,4
12,16,16,2,1,1,4,5,2,1,1,2
6,4,17,1,2,0,5,3,3,1,1,3
5,12,16,1,2,0,2,4,3,1,2,3
11,4,19,1,3,1,4,3,4,1,3,3
13,23,17,1,2,0,5,2,2,1,2,5
8,56,17,1,2,0,5,3,3,2,3,1
14,6,16,1,1,1,4,4,4,3,5,5
11,0,15,1,2,0,5,3,2,1,1,1
9,2,19,1,2,3,3,4,2,1,1,5
10,0,17,2,1,0,4,1,1,2,2,5
8,0,16,1,2,0,5,4,4,1,1,5
14,4,18,1,2,0,3,2,4,1,4,2
9,8,16,2,1,2,2,3,3,2,2,2
11,11,18,1,2,0,4,3,2,1,4,5
19,0,18,2,3,0,5,4,4,1,1,1
10,6,16,3,2,0,5,3,3,1,3,2
15,11,18,1,2,0,4,3,3,1,3,5
11,3,17,1,3,0,3,3,2,2,2,3
8,4,19,3,1,1,4,4,4,3,3,5
11,3,18,1,3,0,4,3,3,2,2,3
10,0,17,1,3,0,4,3,4,2,5,5
0,0,16,1,2,3,4,3,5,1,1,3
10,4,17,1,2,0,3,1,3,1,5,3
9,8,15,1,2,0,5,4,2,1,1,5
7,16,18,1,2,1,5,3,3,1,1,4
5,2,15,1,2,2,3,3,4,2,4,5
15,2,15,1,2,0,3,2,3,1,2,1
17,13,18,2,2,0,4,2,5,3,4,1
20,4,16,1,4,0,4,2,2,1,1,2
0,0,17,1,4,0,3,4,1,1,1,2
10,19,17,1,1,1,4,4,4,3,4,3
16,3,17,2,1,0,2,4,5,3,4,2
8,2,18,1,4,0,4,5,5,2,4,5
15,0,17,1,2,0,4,3,2,1,1,5
18,2,16,1,3,0,5,3,3,1,1,5
10,8,18,2,1,0,4,2,3,1,2,1
14,4,16,1,1,0,4,4,4,1,2,2
9,28,17,1,3,1,4,4,3,3,4,5
0,0,16,3,1,2,3,4,5,2,4,2
10,0,18,2,2,0,4,3,2,1,3,3
12,6,17,1,3,0,4,3,3,1,1,3
14,2,15,1,1,0,4,3,3,1,3,5
0,0,18,1,2,1,4,3,3,2,2,2
18,4,15,1,1,0,4,5,5,1,3,1
8,6,15,2,2,2,4,4,4,2,3,5
12,4,15,3,3,0,5,2,2,1,1,4
8,15,18,1,2,1,4,4,4,2,4,5
11,0,15,1,1,0,5,4,1,1,1,1
8,14,16,1,1,2,1,2,2,1,3,5
10,18,19,1,2,1,4,4,3,1,3,3
13,10,16,1,2,0,1,3,2,1,1,1
9,0,15,1,2,0,3,3,3,1,2,2
0,0,17,1,2,1,3,3,1,1,2,4
18,0,15,1,2,0,5,4,4,1,1,1
9,7,17,1,3,0,5,4,4,1,3,4
13,2,16,2,2,0,4,2,2,1,2,5
