g3,absences,age,traveltime,studytime,failures,famrel,freetime,goout,dalc,walc,health
7,6,17,2,3,0,4,4,2,1,1,4
0,0,18,1,1,3,2,3,5,2,5,4
10,8,16,1,1,0,4,3,2,3,4,5
18,0,20,1,1,0,5,5,3,1,1,5
10,4,18,1,2,0,5,4,3,3,4,2
9,4,17,2,2,0,4,4,4,4,4,4
9,4,16,1,2,0,4,4,3,1,1,1
13,2,16,1,1,0,3,4,4,3,3,1
11,4,19,1,3,1,4,3,4,1,3,3
10,4,16,1,1,0,3,1,3,1,3,5
9,5,19,1,1,0,3,2,3,3,3,5
10,6,16,3,2,0,5,3,3,1,3,2
12,8,18,1,2,1,4,4,3,1,1,3
15,0,17,1,3,0,4,2,2,1,2,3
13,2,17,2,2,0,4,5,4,2,3,3
14,0,16,1,3,0,5,3,2,1,1,5
16,4,17,1,1,0,5,2,3,1,2,5
16,9,18,1,3,0,5,3,2,1,2,4
9,8,16,2,1,2,2,3,3,2,2,2
10,6,18,3,1,3,5,2,5,1,5,4
0,0,16,2,1,1,4,4,4,2,4,5
14,4,15,1,3,0,5,3,3,1,3,1
9,8,15,1,2,0,5,4,2,1,1,5
11,10,15,1,4,0,4,3,3,1,1,4
10,4,17,1,2,0,4,3,3,2,3,2
9,4,19,2,2,2,3,2,2,1,1,3
7,2,15,1,2,1,4,4,4,1,1,3
11,16,16,1,2,0,4,4,5,5,5,5
11,12,16,1,2,0,2,3,5,1,4,3
12,1,18,2,4,0,5,2,2,1,1,3
8,0,16,2,1,0,3,3,2,1,3,3
13,2,15,1,2,0,4,3,3,1,1,5
11,2,15,1,2,0,4,3,2,1,1,5
9,11,20,1,2,2,5,5,4,4,5,4
6,0,15,2,1,0,3,5,1,1,1,5
14,7,17,1,3,0,4,4,3,1,1,5
10,8,15,2,3,2,4,2,1,2,3,3
17,0,15,2,2,0,4,3,1,1,1,5
8,13,18,1,2,1,3,2,4,2,4,4
10,0,17,2,1,0,4,1,1,2,2,5
8,2,17,2,1,1,4,4,4,1,2,5
15,4,15,1,1,0,2,2,4,2,4,1
8,10,16,1,2,0,3,4,3,2,3,3
6,4,17,1,2,0,5,3,3,1,1,3
10,4,18,2,1,0,3,3,2,1,2,3
12,2,17,1,2,0,5,3,3,1,3,3
11,16,16,1,1,0,3,2,1,1,4,5
7,6,15,2,2,2,4,4,4,1,4,3
12,2,17,2,2,0,3,3,3,2,3,4
15,1,17,1,3,0,3,4,3,2,3,5
0,0,17,2,1,2,3,3,2,2,2,5
8,15,18,1,2,1,4,4,4,2,4,5
8,20,17,3,2,1,5,2,4,1,4,5
0,0,15,1,2,3,3,3,2,1,1,3
18,24,17,2,1,1,4,2,4,2,3,2
11,2,18,2,2,0,4,4,3,1,1,3
14,6,16,1,1,0,5,3,4,1,2,1
