g3,absences,age,traveltime,studytime,failures,famrel,freetime,goout,dalc,walc,health
6,18,17,1,1,0,5,3,2,1,2,3
17,7,18,1,4,0,5,3,3,1,1,1
19,0,18,2,3,0,5,4,4,1,1,1
13,2,17,2,2,0,4,5,4,2,3,3
12,1,18,1,3,0,5,3,2,1,1,3
9,5,19,1,1,0,3,2,3,3,3,5
10,6,15,2,1,1,5,5,5,3,4,5
6,4,16,1,4,0,4,3,3,1,2,5
9,2,15,1,2,0,4,3,2,1,1,5
9,2,19,1,2,3,3,4,2,1,1,5
16,12,15,2,4,0,4,4,2,2,3,3
13,2,16,2,2,0,4,2,2,1,2,5
6,4,17,1,2,0,5,3,3,1,1,3
18,6,16,3,1,0,4,3,3,1,1,4
13,12,19,1,3,1,5,4,3,1,2,5
15,0,15,2,1,0,4,3,2,1,1,5
5,14,16,1,1,0,4,5,5,5,5,4
12,4,15,3,3,0,5,2,2,1,1,4
15,10,17,1,2,0,5,3,4,1,3,3
14,6,16,1,1,1,4,4,4,3,5,5
8,0,16,1,3,0,4,3,3,1,3,4
11,2,18,1,2,0,4,4,4,3,3,5
13,20,19,3,2,0,3,4,1,1,1,2
0,0,17,1,4,0,3,4,1,1,1,2
13,0,18,2,2,0,3,3,3,5,5,4
10,0,15,4,1,3,4,5,5,2,5,5
10,10,16,2,3,0,5,3,3,1,3,2
14,4,17,2,3,0,4,3,3,1,2,4
11,0,16,1,4,0,5,2,3,1,3,3
0,0,15,1,2,3,3,3,2,1,1,3
17,0,16,1,3,0,4,4,3,1,1,4
8,7,18,1,1,1,4,3,3,2,3,3
0,0,15,2,3,2,4,2,2,2,2,5
13,20,19,1,2,1,4,4,4,1,1,3
16,0,15,1,3,0,4,5,2,1,1,3
12,0,15,1,1,0,5,5,5,3,2,5
14,2,15,1,2,0,4,3,3,2,2,5
15,4,15,2,2,0,5,3,3,1,3,4
18,0,15,1,2,0,5,4,4,1,1,1
15,0,17,1,2,0,2,3,4,1,1,1
18,8,16,1,1,0,3,5,5,2,5,4
0,0,19,1,3,1,5,4,2,1,2,5
9,14,16,2,2,1,4,3,3,2,2,5
13,4,17,2,1,0,5,2,2,1,1,2
11,12,17,1,2,0,4,3,4,2,3,4
15,0,17,1,2,0,4,3,2,1,1,5
10,0,18,2,2,0,4,3,2,1,3,3
13,6,15,4,4,0,1,3,5,3,5,1
10,10,18,1,2,0,5,4,5,1,3,5
10,2,17,2,1,3,4,5,1,1,1,3
16,2,16,1,2,0,4,5,1,1,3,5
13,12,18,1,2,1,5,4,3,1,1,5
10,2,18,4,3,0,4,3,2,1,2,4
14,2,15,2,2,0,4,4,3,1,1,2
5,2,15,1,2,2,3,3,4,2,4,5
11,4,19,1,3,1,4,3,4,1,3,3
10,2,17,2,2,0,4,4,3,1,1,3
15,0,15,1,1,0,5,4,2,1,1,5
16,2,16,1,2,0,4,2,3,1,1,5
10,0,17,1,2,0,4,4,4,1,3,5
11,0,16,1,2,0,4,4,4,1,1,3
14,4,16,1,1,0,4,4,4,1,2,2
7,2,15,1,2,1,4,4,4,1,1,3
0,0,17,1,1,3,5,4,5,1,2,5
8,0,16,1,2,0,5,4,4,1,1,5
11,10,15,1,4,0,4,3,3,1,1,4
11,2,15,2,2,0,5,4,3,1,2,3
