Id,SalePrice
3,223500
13,144000
14,279500
18,90000
20,139000
28,306000
31,40000
33,179900
36,309000
39,109000
41,160000
56,180500
57,172500
66,317000
67,180000
68,226000
70,225000
79,136500
80,110000
82,153500
83,245000
84,126500
85,168500
87,174000
93,163500
95,204750
96,185000
97,214000
102,178000
105,169500
114,217000
120,163990
122,100000
123,136000
125,181000
131,226000
132,244000
134,220000
138,171000
141,115000
143,166000
147,105000
149,141000
150,115000
151,122000
154,235000
156,79000
158,269500
161,162500
162,412500
164,103200
167,190000
168,325624
170,228000
171,128500
176,243000
178,172500
194,130000
196,148500
197,311872
199,104000
202,171500
204,149000
205,110000
211,98000
212,186000
218,107000
231,148000
232,403000
235,216500
237,185500
242,110500
244,120000
250,277000
251,76500
253,173000
255,145000
258,220000
261,176000
262,276000
264,130000
266,175500
270,148000
274,139000
276,205000
277,201000
281,228500
284,244600
285,179200
290,153575
295,167000
296,142500
299,175000
302,267000
308,89500
314,375000
319,260000
322,354000
323,301000
324,126175
331,119000
335,192000
340,155000
341,202900
342,82000
347,151500
348,157500
353,95000
357,173000
362,145000
363,198500
368,165000
369,132000
372,134432
376,61000
380,179000
383,213500
386,192000
392,215000
402,164990
403,108000
406,150000
416,181134
418,239000
425,139000
427,275000
432,79900
440,110000
443,162900
446,127500
447,190000
448,199900
449,119500
455,188000
456,175500
457,98000
461,263435
462,155000
469,250000
471,212000
472,190000
473,148000
474,440000
477,208900
479,297000
480,89471
483,155000
484,164000
487,156000
490,86000
497,430000
499,130000
508,208300
514,134000
517,158000
519,211000
522,150000
524,184750
525,315750
527,132000
529,86000
530,200624
533,107500
540,272000
543,213250
548,129500
549,125000
551,140000
553,255500
557,141000
558,108000
559,175000
561,121500
562,170000
565,268000
568,214000
570,135960
576,118500
579,146000
581,181900
583,118500
585,133000
587,130000
592,451950
595,110000
598,194201
600,151000
602,141000
608,225000
619,314813
621,67000
622,240000
628,153000
630,168500
633,82500
634,139400
637,60000
641,274000
642,226000
643,345000
649,155000
650,84500
652,108000
657,145500
663,110000
665,423000
666,230500
668,193500
669,168000
680,128500
682,159434
683,173000
684,285000
691,141000
692,755000
693,335000
697,89000
699,138500
716,165000
717,159500
724,135000
725,320000
730,103000
734,131400
735,108000
737,93500
743,179000
754,275500
760,290000
763,215200
769,216837
779,144000
781,176000
782,175900
784,165500
785,128000
786,161500
787,139000
788,233000
789,107900
793,269790
794,225000
795,194500
801,200000
812,144500
815,116000
816,224900
818,271000
819,155000
820,224000
821,183000
822,93000
823,225000
824,139500
827,109500
829,185000
830,147400
838,100000
842,157500
849,240000
852,215000
853,164000
860,250000
863,152000
869,169000
871,109500
877,132250
878,350000
885,100000
890,149500
893,154500
897,106500
898,142953
901,110000
904,240000
910,174000
915,173733
918,135000
921,201000
923,169990
924,193000
932,117500
936,79900
942,214000
943,150000
951,129000
957,124000
963,155000
966,178900
967,160000
968,135000
971,135000
974,182000
976,165000
981,178400
983,159895
986,125000
990,197000
997,136500
1000,206000
1002,86000
1004,136905
1008,88000
1009,240000
1010,102000
1018,187500
1029,105000
1035,119750
1039,97000
1042,173000
1048,145000
1053,165000
1054,144500
1063,90000
1064,110500
1066,328000
1067,178000
1070,135000
1073,91500
1077,170000
1078,138800
1080,126000
1081,145000
1083,192000
1089,137500
1090,197000
1092,160000
1094,146000
1096,176432
1104,159500
1105,106000
1107,179900
1109,181000
1111,188000
1112,205000
1122,212900
1125,163900
1134,239500
1137,119000
1139,196000
1147,180000
1156,218000
1158,230000
1159,235128
1160,185000
1161,146000
1162,224000
1163,129000
1167,245350
1170,625000
1172,163000
1174,200500
1176,285000
1177,119500
1178,115000
1179,154900
1180,93000
1181,250000
1182,392500
1183,745000
1184,120000
1186,104900
1191,168000
1193,125000
1196,176000
1201,116050
1203,117000
1205,153500
1209,140000
1214,145000
1220,91500
1221,115000
1222,134000
1224,137900
1225,184000
1227,214000
1228,147000
1229,367294
1232,132500
1245,230000
1248,169900
1250,119000
1251,244000
1256,127500
1257,301500
1258,99900
1261,181000
1264,180500
1267,122000
1277,162000
1279,237000
1284,139000
1288,190000
1292,119500
1300,154000
1302,177500
1305,130000
1309,147000
1312,203000
1313,302000
1316,206900
1318,208900
1322,72500
1325,147000
1328,130500
1329,256000
1330,176500
1331,227000
1332,132500
1340,128500
1343,228500
1348,283463
1353,134900
1358,149900
1359,177500
1360,315000
1361,189000
1363,104900
1369,144000
1375,250000
1378,117000
1381,58500
1383,157000
1385,105000
1386,125500
1387,250000
1397,160000
1406,275000
1414,257000
1422,127500
1428,140000
1430,182900
1437,120500
1438,394617
1441,191000
1443,310000
1450,92000
1457,210000
1460,147500
